m1,m2,m3,m6,LOC,Repository,Version,Date,Maintainability,Reliability,Total_QR
0.44,0.0,0.96,0.56,840,api-comunidades,1.1.0,15-2022-16-49-05,0.231,0.196,0.42700000000000005
0.44,0.0,0.96,0.56,849,api-comunidades,1.1.1,18-2022-19-52-41,0.231,0.196,0.42700000000000005
