m1,m2,m3,m6,LOC,Repository,Version,Date,Maintainability,Reliability,Total_QR
0.44,0.0,0.96,0.56,840,api-comunidades,1.1.0,15-2022-16-49-05,0.231,0.28,0.511
0.44,0.0,0.96,0.56,849,api-comunidades,1.1.1,18-2022-19-52-41,0.231,0.28,0.511
0.46153846153846156,0.0,0.9615384615384616,0.5384615384615384,983,api-comunidades,2.0.0,04-2022-23-11-16,0.23480769230769233,0.2692307692307692,0.5040384615384615
